game_date,player,team,opp,stat,side,line,pred_mean,p_hit,minutes_proj,edge_raw,edge_norm,edge_rank_pct,score_safe,score_balanced,score_lotto,rank_score,overall_rank,overall_rank_pct,stat_rank,stat_rank_pct,team_rank,player_rank,edge_tier,can_safe,can_balanced,can_lotto,baseline_mean,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,minutes_conf,prob_edge,stat_vol_penalty,extreme_line_penalty,reb_top_bucket_bonus,ast_extreme_tail_penalty,score
2025-01-02,Isaiah Joe,OKC,LAC,reb,under,3.5,2.487397302099068,0.7602666973056491,17.363333399999995,1.012602697900932,0.5422360234218083,0.8303571428571429,0.6854637786857207,0.8919954531818156,0.9827479555959481,1.0357469244971005,124,0.508,35,0.48484848484848486,16,3,tier_4,0,1,1,2.2,poisson,0.0,1,ok,reb_hgbr,v1,0.48231481666666653,0.2602666973056491,0.03,0.0,0.07,0.0,0.8919954531818156
2025-01-02,Derrick Jones Jr.,LAC,OKC,reb,over,2.5,3.6889317251225044,0.7126890093920089,24.2799994,1.1889317251225044,0.5490601966235835,0.8392857142857143,0.6907596455952947,0.8906030978834406,0.9941252558923992,1.0353044296946843,125,0.504,36,0.4696969696969697,17,3,tier_4,1,1,1,3.4,poisson,0.0,1,ok,reb_hgbr,v1,0.6744444277777778,0.21268900939200885,0.03,0.0,0.07,0.0,0.8906030978834406
2025-01-02,Al Horford,BOS,MIN,ast,under,3.5,2.477074212909771,0.7624653942071283,27.983333400000003,1.0229257870902289,0.5485764337772702,0.7203647416413373,0.8687414374218013,0.8607362218974791,0.8412195211395395,1.0305297691900652,126,0.5,43,0.3333333333333333,11,2,tier_4,1,1,1,2.6,poisson,0.0,1,ok,ast_hgbr,v1,0.7773148166666668,0.26246539420712833,0.04,0.0,0.0,0.0,0.8607362218974791
2025-01-02,Donte DiVincenzo,MIN,BOS,ast,over,2.5,3.774313637877046,0.7269292605535005,28.7999994,1.274313637877046,0.5832044890798852,0.7629179331306991,0.8385941524592003,0.8591707770200924,0.8627293082164531,1.028808082012769,127,0.496,44,0.31746031746031744,16,2,tier_4,1,1,1,3.4,poisson,0.0,1,ok,ast_hgbr,v1,0.7999999833333333,0.2269292605535005,0.04,0.0,0.0,0.0,0.8591707770200924
2025-01-02,Nikola Jović,MIA,IND,fg3,under,2.5,1.513949252986791,0.7938998540728812,27.686666399999996,0.9860507470132089,0.6219006533857456,0.686084142394822,0.7976895977157298,0.8741185895147203,0.9460967484644048,1.0285934297037285,128,0.492,48,0.2033898305084746,11,3,tier_4,1,1,1,1.5555555555555556,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.7690740666666666,0.2938998540728812,0.1,0.0,0.0,0.0,0.8741185895147203
2025-01-02,Sam Hauser,BOS,MIN,fg3,under,2.5,1.455442463055947,0.8076384362987099,17.379999999999992,1.044557536944053,0.6666033410477574,0.7184466019417476,0.7356395637566637,0.8660109531624344,0.9598814817834903,1.0154332796520822,129,0.488,49,0.1864406779661017,12,2,tier_4,0,1,1,1.4151724137931034,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.48277777777777753,0.3076384362987099,0.1,0.0,0.0,0.0,0.8660109531624344
2025-01-02,Shai Gilgeous-Alexander,OKC,LAC,ast,under,7.5,6.0969958142469505,0.7305212320938417,33.75333379999999,1.4030041857530495,0.5266495193639513,0.6778115501519757,0.8744634796123948,0.8444283063041644,0.823925238989587,1.0089778314392261,130,0.484,45,0.30158730158730157,17,3,tier_4,1,1,1,5.199999999999999,poisson,0.0,1,ok,ast_hgbr,v1,0.9375926055555553,0.23052123209384168,0.04,0.0,0.0,0.0,0.8444283063041644
2025-01-02,Nickeil Alexander-Walker,MIN,BOS,fg3,over,0.5,1.6030205980601335,0.7595885207717695,21.653333199999995,1.1030205980601335,0.683667319338075,0.7475728155339806,0.719331787110491,0.8580856759288287,0.9700299593630225,1.0087245669824294,131,0.48,50,0.1694915254237288,17,3,tier_4,1,1,1,2.0809523809523807,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.6014814777777776,0.2595885207717695,0.1,0.0,0.0,0.0,0.8580856759288287
2025-01-02,Caleb Martin,PHI,GSW,reb,under,6.5,5.288173496581674,0.718949632705902,35.4633338,1.211826503418326,0.4832570391086206,0.7619047619047619,0.7830242921897208,0.8327638816767313,0.8907012036619897,1.0008085187799596,132,0.476,37,0.45454545454545453,9,3,tier_4,1,1,1,4.4,poisson,0.0,1,ok,reb_hgbr,v1,0.9850926055555556,0.21894963270590195,0.03,0.0,0.0,0.0,0.8327638816767313
2025-01-02,Tyler Herro,MIA,IND,ast,over,4.5,5.887177115637825,0.6995579951940764,36.766667399999996,1.387177115637825,0.5285806853671149,0.6869300911854104,0.8536390560617327,0.8285779830399063,0.818491738235357,0.9919251859822615,133,0.472,46,0.2857142857142857,12,1,tier_4,1,1,1,6.800000000000001,poisson,0.0,1,ok,ast_hgbr,v1,1.0,0.19955799519407635,0.04,0.0,0.0,0.0,0.8285779830399063
