game_date,player,team,opp,stat,pred_mean,baseline_mean,minutes_proj,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,line,side,p_hit,edge_raw,edge_abs,score_safe,score_balanced,score_lotto
2025-01-08,Giannis Antetokounmpo,MIL,SAS,fg3,0.2424367497880606,0.14285714285714288,,nbinom,0.16167095985722266,0,minutes_lt_10|pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,1.5,under,0.9722731380494646,-1.2575632502119394,1.2575632502119394,0.9254087691607848,0.9120189494783051,0.8986291297958251
2025-01-08,Isaiah Hartenstein,OKC,CLE,fg3,0.24569278297144984,0.0,29.39666719999999,nbinom,0.16167095985722266,0,pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,1.5,under,0.9716006212529809,-1.25430721702855,1.25430721702855,0.92421189267344,0.9106722559364284,0.8971326191994167
2025-01-08,Terance Mann,LAC,DEN,ast,1.9540159879485308,1.7200000000000002,,poisson,0.0,0,minutes_lt_10,ast_hgbr,v1,0.5,over,0.8582961535952474,1.4540159879485308,1.4540159879485308,0.8971626708447873,0.9082673900589417,0.919372109273096
2025-01-08,Dario Šarić,DEN,LAC,ast,1.9479868310803135,1.3636363636363635,,poisson,0.0,0,minutes_lt_10,ast_hgbr,v1,0.5,over,0.8574392181732516,1.4479868310803135,1.4479868310803135,0.8951988604891076,0.9059873297222094,0.916775798955311
2025-01-08,Bruce Brown,TOR,NYK,ast,1.1263142924183818,0.75,,poisson,0.0,0,minutes_lt_10,ast_hgbr,v1,2.5,under,0.8950604810298857,-1.3736857075816182,1.3736857075816182,0.9023157640875024,0.9043887021039643,0.9064616401204262
2025-01-08,Jalen Brunson,NYK,TOR,fg3,1.9999974520898485,2.3333333333333335,,nbinom,0.16167095985722266,0,minutes_lt_10,fg3_composed,v1,0.5,over,0.8232293821029419,1.4999974520898485,1.4999974520898485,0.8850982705217622,0.9027750957842822,0.9204519210468023
2025-01-08,Jamal Murray,DEN,LAC,fg3,2.01638011295539,1.7349397590361446,37.25333319999999,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,3.5,under,0.8319130471547371,-1.4836198870446098,1.4836198870446098,0.8869212235091596,0.9026378453247088,0.9183544671402581
2025-01-08,Blake Wesley,SAS,MIL,ast,1.9383512107993168,2.0,,poisson,0.0,0,minutes_lt_10,ast_hgbr,v1,0.5,over,0.8560589172643986,1.4383512107993168,1.4383512107993168,0.8920533549983272,0.902337480065164,0.9126216051320006
2025-01-08,Jarace Walker,IND,CHI,ast,1.938028118210813,0.8,15.81666659999999,poisson,0.0,1,ok,ast_hgbr,v1,0.5,over,0.8560124034536565,1.438028118210813,1.438028118210813,0.8919477328009526,0.9022149697573232,0.9124822067136934
2025-01-08,Julian Champagnie,SAS,MIL,ast,1.1316777928899802,0.6,18.266666799999992,poisson,0.0,1,ok,ast_hgbr,v1,2.5,under,0.8939551664253869,-1.3683222071100198,1.3683222071100198,0.9003458269855269,0.9021717300027099,0.9039976330198928
2025-01-08,Justin Edwards,PHI,WAS,fg3,1.1150503488306696,0.6666666666666666,,nbinom,0.16167095985722266,0,minutes_lt_10,fg3_composed,v1,2.5,under,0.8835994433454426,-1.3849496511693304,1.3849496511693304,0.897494341344246,0.9014643122010471,0.905434283057848
2025-01-08,Marcus Sasser,DET,BRK,ast,2.053584179973799,2.4,13.983333319999991,poisson,0.0,1,ok,ast_hgbr,v1,3.5,under,0.8473271541938341,-1.4464158200262012,1.4464158200262012,0.888259449900906,0.899954391531498,0.9116493331620898
2025-01-08,Javonte Green,NOP,POR,fg3,1.123678108286492,0.6875,,nbinom,0.16167095985722266,0,minutes_lt_10,fg3_composed,v1,2.5,under,0.8817963180882756,-1.376321891713508,1.376321891713508,0.8943091673961574,0.8978842671984092,0.9014593670006611
2025-01-08,Scoot Henderson,POR,NOP,reb,3.002295758134671,3.4000000000000004,25.493333799999995,poisson,0.0,1,ok,reb_hgbr,v1,4.5,under,0.8148773376832277,-1.4977042418653288,1.4977042418653288,0.8791343596199479,0.8974935087447253,0.9158526578695025
