file,season,n_rows,mp_dtype,mp_sample_1,mp_sample_2,mp_sample_3
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172406_556f1799.parquet,2026,56,object,12:58,17:00,17:59
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172411_c697ac07.parquet,2026,55,object,20:18,20:07,
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172417_7cdc7a04.parquet,2026,56,object,,03:53,02:09
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172422_cec66fce.parquet,2026,57,object,21:54,11:22,03:41
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172428_2445814c.parquet,2026,40,object,,02:30,02:09
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172439_12e122ff.parquet,2026,57,object,24:32,25:15,20:11
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172444_5ed07c04.parquet,2026,54,object,,13:11,16:01
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172449_d41fec30.parquet,2026,55,object,31:32,34:39,28:53
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172506_f01f6bd6.parquet,2026,56,object,,08:33,04:40
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172512_280098b7.parquet,2026,37,object,,01:12,04:21
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172517_ee817cc6.parquet,2026,57,object,18:58,23:25,18:33
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172522_8ab5a721.parquet,2026,55,object,,30:31,36:48
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172528_9dd3c158.parquet,2026,57,object,,04:13,03:46
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172533_54655fd1.parquet,2026,56,object,00:59,,22:51
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172539_42cbf9f2.parquet,2026,55,object,,17:22,24:51
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172545_d8a929fa.parquet,2026,57,object,,02:44,04:53
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172549_7ee06852.parquet,2026,57,object,,26:05,28:20
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172555_80887b3d.parquet,2026,55,object,05:44,,13:23
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172601_1fff4170.parquet,2026,57,object,29:55,33:38,42:48
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172606_79026554.parquet,2026,54,object,32:05,35:18,24:51
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172611_380db17e.parquet,2026,55,object,,21:06,24:42
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172617_df62df21.parquet,2026,56,object,28:48,32:05,32:56
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172622_7a69427a.parquet,2026,57,object,47:13,45:21,28:44
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172628_41433886.parquet,2026,54,object,01:42,,01:58
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172634_6e0b2205.parquet,2026,56,object,22:20,28:05,14:09
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172639_64c63924.parquet,2026,57,object,31:51,28:10,34:00
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172644_d6683e63.parquet,2026,57,object,,00:54,07:21
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172650_4c2d7bec.parquet,2026,55,object,,22:36,18:23
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172655_b44e1bd0.parquet,2026,56,object,,06:05,04:40
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172700_7c12f536.parquet,2026,56,object,38:39,25:12,32:49
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172707_2fb480e4.parquet,2026,51,object,,10:57,04:33
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172712_6452e7e3.parquet,2026,57,object,27:46,27:36,29:01
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172717_f4c5c48e.parquet,2026,54,object,27:12,25:34,30:57
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172724_69659822.parquet,2026,56,object,28:24,34:18,20:32
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172728_7c49f065.parquet,2026,54,object,09:31,19:58,16:50
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172734_c6cea6cf.parquet,2026,56,object,,22:59,06:48
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172740_90569b17.parquet,2026,54,object,,03:58,07:31
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172745_79c23af3.parquet,2026,55,object,31:38,30:16,25:46
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172751_328beb8c.parquet,2026,57,object,05:01,29:46,23:09
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172757_8d4c5d32.parquet,2026,55,object,35:25,31:51,40:14
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172802_814d7e97.parquet,2026,56,object,,,
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172808_4d794ae7.parquet,2026,56,object,21:45,26:01,31:37
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172814_8191076c.parquet,2026,54,object,29:11,28:25,37:33
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172819_01b41900.parquet,2026,55,object,07:15,11:18,04:41
