prob_band,n_obs,mean_pred_prob,empirical_hit_rate,threshold_k,mean_error_pred_minus_actual
"(0.3, 0.4]",551,0.3431276767411401,0.30127041742286753,9,0.041857259318272555
"(0.4, 0.5]",317,0.4475860740247474,0.444794952681388,9,0.002791121343359404
"(0.5, 0.6]",197,0.5469346145710742,0.49238578680203043,9,0.05454882776904374
"(0.6, 0.7]",109,0.6474931960576477,0.5596330275229358,9,0.0878601685347119
"(0.7, 0.8]",64,0.7410472061879496,0.578125,9,0.16292220618794961
"(0.8, 0.9]",9,0.8191227295655463,0.7777777777777778,9,0.041344951787768536
"(-0.001, 0.1]",26497,0.008401772326653689,0.008604747707287617,10,-0.00020297538063392823
"(0.1, 0.2]",1591,0.14372953585473047,0.1169076052796983,10,0.02682193057503217
"(0.2, 0.3]",666,0.2422682714446677,0.20270270270270271,10,0.039565568741964985
"(0.3, 0.4]",334,0.3476503494925613,0.31736526946107785,10,0.030285080031483447
"(0.4, 0.5]",189,0.4479354838222919,0.36507936507936506,10,0.08285611874292687
"(0.5, 0.6]",100,0.5470388021312294,0.47,10,0.07703880213122938
"(0.6, 0.7]",67,0.6446917120277578,0.43283582089552236,10,0.2118558911322354
"(0.7, 0.8]",16,0.7345354702790113,0.6875,10,0.04703547027901134
"(-0.001, 0.1]",27478,0.007073469660280494,0.006186767595894898,11,0.0008867020643855963
"(0.1, 0.2]",1177,0.13907679831449232,0.0994052676295667,11,0.03967153068492563
"(0.2, 0.3]",403,0.24561745051386447,0.21588089330024815,11,0.029736557213616316
"(0.3, 0.4]",203,0.34421309726873456,0.2561576354679803,11,0.08805546180075424
"(0.4, 0.5]",109,0.4432113962844199,0.3302752293577982,11,0.11293616692662173
"(0.5, 0.6]",65,0.5442051892351737,0.3384615384615385,11,0.2057436507736352
"(0.6, 0.7]",23,0.6319222667848038,0.5652173913043478,11,0.066704875480456
"(0.7, 0.8]",2,0.7155096583821314,0.5,11,0.21550965838213143
"(-0.001, 0.1]",28253,0.005964914306258906,0.004707464694014795,12,0.0012574496122441112
"(0.1, 0.2]",715,0.13933344931592828,0.1076923076923077,12,0.03164114162362058
"(0.2, 0.3]",268,0.24233597618144131,0.15298507462686567,12,0.08935090155457565
"(0.3, 0.4]",118,0.33983436003168116,0.19491525423728814,12,0.14491910579439302
"(0.4, 0.5]",73,0.4405487946810479,0.2191780821917808,12,0.2213707124892671
"(0.5, 0.6]",29,0.5334083897460759,0.5172413793103449,12,0.01616701043573099
"(0.6, 0.7]",4,0.6222714429181853,0.25,12,0.37227144291818526
