stat,minutes_bucket,pred_bucket,n,mean_pred,mean_actual,mae,bias,rmse,beat_projection_rate,beat_baseline_rate
fg3,31-36,7-8,0,,,,,,,
fg3,31-36,9-10,0,,,,,,,
fg3,31-36,<=1,49,0.43027752696978033,0.5918367346938775,0.47870103636193895,0.16155920772409726,0.7971357135910251,0.6326530612244898,0.6326530612244898
fg3,31-36,<=10,0,,,,,,,
fg3,31-36,<=2,0,,,,,,,
fg3,31-36,<=4,0,,,,,,,
fg3,37+,11+,0,,,,,,,
fg3,37+,11-12,0,,,,,,,
fg3,37+,11-15,0,,,,,,,
fg3,37+,13+,0,,,,,,,
fg3,37+,16-20,0,,,,,,,
fg3,37+,2,19,1.4944048711107798,1.368421052631579,0.8867404045591135,-0.12598381847920082,1.0596271472741854,0.42105263157894735,0.47368421052631576
fg3,37+,21-25,0,,,,,,,
fg3,37+,26-30,0,,,,,,,
fg3,37+,3,40,2.391430060285521,2.3,1.414147703834081,-0.0914300602855209,1.7401667031758286,0.4,0.425
fg3,37+,3-4,0,,,,,,,
fg3,37+,31+,0,,,,,,,
fg3,37+,4,20,3.4669649516112164,3.7,1.7008744574764463,0.23303504838878347,2.3232432764501154,0.4,0.4
fg3,37+,5,0,,,,,,,
fg3,37+,5-6,0,,,,,,,
fg3,37+,7-8,0,,,,,,,
fg3,37+,9-10,0,,,,,,,
fg3,37+,<=1,2,0.7810517383574511,2.0,1.218948261642549,1.218948261642549,1.6429576772610448,1.0,0.5
fg3,37+,<=10,0,,,,,,,
fg3,37+,<=2,0,,,,,,,
fg3,37+,<=4,0,,,,,,,
fg3,,11+,0,,,,,,,
fg3,,11-12,0,,,,,,,
fg3,,11-15,0,,,,,,,
fg3,,13+,0,,,,,,,
fg3,,16-20,0,,,,,,,
fg3,,2,270,1.4386182983214006,1.474074074074074,1.0962582201795925,0.03545577575267349,1.3640737215779541,0.4111111111111111,0.44814814814814813
fg3,,21-25,0,,,,,,,
fg3,,26-30,0,,,,,,,
fg3,,3,47,2.4000734638234213,2.4468085106382977,1.3812355917424728,0.046735046814876384,1.7401479777167659,0.46808510638297873,0.3617021276595745
fg3,,3-4,0,,,,,,,
fg3,,31+,0,,,,,,,
fg3,,4,8,3.2500933692430887,3.75,1.3972099079580822,0.49990663075691116,1.8543263268146217,0.5,0.5
fg3,,5,0,,,,,,,
fg3,,5-6,0,,,,,,,
fg3,,7-8,0,,,,,,,
fg3,,9-10,0,,,,,,,
fg3,,<=1,150,0.6498376402670836,0.4066666666666667,0.643129307646677,-0.2431709736004168,0.7663811237026711,0.28,0.49333333333333335
fg3,,<=10,0,,,,,,,
fg3,,<=2,0,,,,,,,
fg3,,<=4,0,,,,,,,
pts,<=16,11+,0,,,,,,,
pts,<=16,11-12,0,,,,,,,
pts,<=16,11-15,1,10.532525114860627,8.0,2.5325251148606274,-2.5325251148606274,2.5325251148606274,0.0,0.0
pts,<=16,13+,0,,,,,,,
pts,<=16,16-20,0,,,,,,,
pts,<=16,2,0,,,,,,,
pts,<=16,21-25,0,,,,,,,
pts,<=16,26-30,0,,,,,,,
pts,<=16,3,0,,,,,,,
pts,<=16,3-4,0,,,,,,,
pts,<=16,31+,0,,,,,,,
pts,<=16,4,0,,,,,,,
pts,<=16,5,0,,,,,,,
pts,<=16,5-6,0,,,,,,,
pts,<=16,7-8,0,,,,,,,
pts,<=16,9-10,0,,,,,,,
pts,<=16,<=1,0,,,,,,,
pts,<=16,<=10,112,5.673137138595484,6.080357142857143,3.785719332019853,0.40722000426165905,5.15680272144071,0.45535714285714285,0.5446428571428571
pts,<=16,<=2,0,,,,,,,
pts,<=16,<=4,0,,,,,,,
pts,17-24,11+,0,,,,,,,
pts,17-24,11-12,0,,,,,,,
pts,17-24,11-15,67,11.63406600044037,8.880597014925373,5.322567618763208,-2.7534689855149987,6.6700357210326215,0.19402985074626866,0.3283582089552239
pts,17-24,13+,0,,,,,,,
pts,17-24,16-20,0,,,,,,,
pts,17-24,2,0,,,,,,,
pts,17-24,21-25,0,,,,,,,
pts,17-24,26-30,0,,,,,,,
pts,17-24,3,0,,,,,,,
pts,17-24,3-4,0,,,,,,,
pts,17-24,31+,0,,,,,,,
pts,17-24,4,0,,,,,,,
pts,17-24,5,0,,,,,,,
pts,17-24,5-6,0,,,,,,,
pts,17-24,7-8,0,,,,,,,
pts,17-24,9-10,0,,,,,,,
pts,17-24,<=1,0,,,,,,,
pts,17-24,<=10,229,7.028346435124109,7.903930131004367,4.055948865811415,0.8755836958802576,5.584492197992442,0.4890829694323144,0.4890829694323144
pts,17-24,<=2,0,,,,,,,
pts,17-24,<=4,0,,,,,,,
pts,25-30,11+,0,,,,,,,
pts,25-30,11-12,0,,,,,,,
pts,25-30,11-15,127,11.950785918802637,11.960629921259843,5.5195683558689685,0.009844002457204789,6.763006050404414,0.4645669291338583,0.48031496062992124
pts,25-30,13+,0,,,,,,,
pts,25-30,16-20,39,17.204107660494454,13.820512820512821,6.605739719791563,-3.3835948399816336,7.9756668859645306,0.358974358974359,0.3333333333333333
pts,25-30,2,0,,,,,,,
pts,25-30,21-25,4,21.465064356660463,18.5,2.965064356660461,-2.965064356660461,3.444358174475573,0.0,0.0
pts,25-30,26-30,0,,,,,,,
pts,25-30,3,0,,,,,,,
pts,25-30,3-4,0,,,,,,,
pts,25-30,31+,0,,,,,,,
pts,25-30,4,0,,,,,,,
pts,25-30,5,0,,,,,,,
pts,25-30,5-6,0,,,,,,,
pts,25-30,7-8,0,,,,,,,
pts,25-30,9-10,0,,,,,,,
pts,25-30,<=1,0,,,,,,,
pts,25-30,<=10,98,8.003169891536054,9.438775510204081,4.247495857996956,1.4356056186680275,5.899170262922885,0.5408163265306123,0.4897959183673469
pts,25-30,<=2,0,,,,,,,
pts,25-30,<=4,0,,,,,,,
pts,31-36,11+,0,,,,,,,
pts,31-36,11-12,0,,,,,,,
pts,31-36,11-15,84,12.017416958637089,12.464285714285714,5.21204138846048,0.44686875564862527,6.407500461214979,0.4642857142857143,0.47619047619047616
pts,31-36,13+,0,,,,,,,
pts,31-36,16-20,98,17.38502441830218,18.275510204081634,5.181733020902567,0.8904857857794534,6.732687023015209,0.5510204081632653,0.5612244897959183
pts,31-36,2,0,,,,,,,
pts,31-36,21-25,63,22.240749807878462,23.793650793650794,6.3253495013758725,1.5529009857723337,7.994321341972132,0.5555555555555556,0.5396825396825397
pts,31-36,26-30,19,27.074303545700303,30.263157894736842,7.675745727740817,3.1888543490365393,9.350698460723702,0.5789473684210527,0.5789473684210527
pts,31-36,3,0,,,,,,,
pts,31-36,3-4,0,,,,,,,
pts,31-36,31+,4,32.550017932046615,30.75,1.9670716507707402,-1.8000179320466136,3.1443251167613857,0.25,0.25
pts,31-36,4,0,,,,,,,
pts,31-36,5,0,,,,,,,
pts,31-36,5-6,0,,,,,,,
pts,31-36,7-8,0,,,,,,,
