player,n,actual_mean,pred_mean,mae,bias
Jaime Jaquez Jr.,68,4.955882352941177,5.393736525511269,2.1458556596003255,-0.43785417257009285
Shai Gilgeous-Alexander,68,4.3088235294117645,5.039769973715255,2.115608517783333,-0.7309464443034903
Brandin Podziemski,68,5.279411764705882,4.774620812990787,2.097631887901387,0.5047909517150949
Luke Kennard,68,2.3529411764705883,3.085158091911304,1.5940504261534438,-0.7322169154407158
Deni Avdija,67,7.432835820895522,6.732642969742122,2.610878079600728,0.7001928511533997
Jordan Goodwin,67,4.925373134328358,4.809403230766739,2.3803678342139207,0.11596990356161915
Josh Okogie,67,2.582089552238806,3.156053798260232,1.7532135856743043,-0.5739642460214265
Keyonte George,67,4.014925373134329,4.017211254752255,1.7278799418208945,-0.0022858816179278088
Jalen Brunson,67,3.4925373134328357,4.006228700012442,1.6667701864592648,-0.5136913865796058
Kentavious Caldwell-Pope,67,2.283582089552239,2.8378317170292107,1.1566379883861677,-0.5542496274769718
Adem Bona,66,4.848484848484849,4.374469283336572,2.047371668873146,0.4740155651482761
Peyton Watson,66,4.712121212121212,4.307791758300716,1.9360917131779254,0.40432945382049634
Gary Trent Jr.,66,1.8636363636363635,2.919518514891112,1.6628746574471212,-1.0558821512547485
Jaxson Hayes,65,4.415384615384616,4.800629625836181,2.3594950582113925,-0.3852450104515657
Myles Turner,64,5.265625,6.082884787715998,2.0615969661275155,-0.8172597877159983
T.J. McConnell,64,2.46875,3.21865712833077,1.6127184560553416,-0.74990712833077
Mouhamed Gueye,63,3.873015873015873,4.336013583577066,2.4778549547817534,-0.4629977105611925
Goga Bitadze,62,4.82258064516129,7.598485827717743,3.6437747542282004,-2.775905182556453
Bobby Portis,62,6.596774193548387,7.134555189488549,2.8437927749825724,-0.5377809959401627
Isaiah Stewart,62,5.016129032258065,5.593499601447779,2.4701652184289475,-0.5773705691897147
Kenrich Williams,62,3.403225806451613,3.5973815356941286,2.3346381392283666,-0.1941557292425156
Tobias Harris,62,5.209677419354839,5.600726587812024,2.2861145672425986,-0.3910491684571849
Austin Reaves,62,4.564516129032258,5.285035015479613,2.033540949975475,-0.7205188864473542
Quentin Grimes,62,3.7096774193548385,4.421805005145614,1.9844096294096272,-0.712127585790775
Isaac Okoro,62,2.5806451612903225,3.0938770645833693,1.4490279114241706,-0.5132319032930468
Karl-Anthony Towns,61,12.295081967213115,12.12432153287835,3.7504255772042505,0.17076043433476368
Tre Jones,61,3.1639344262295084,3.345157797633535,1.6879632860079785,-0.18122337140402722
Davion Mitchell,61,2.7049180327868854,3.1040069414326803,1.5467189818975156,-0.39908890864579505
Kevin Huerter,60,3.316666666666667,3.978760296662495,2.210790593756647,-0.6620936299958282
Nique Clifford,60,3.55,3.9479839043844387,2.025330394714677,-0.3979839043844387
Chris Paul,60,2.8833333333333333,3.8842171555296803,1.953354568356475,-1.0008838221963468
Immanuel Quickley,60,3.816666666666667,4.4765170907241725,1.7022145141601237,-0.659850424057506
Jarred Vanderbilt,58,4.5,6.504446443509243,3.3588084286317925,-2.0044464435092424
Nick Richards,58,6.913793103448276,7.075991516271434,2.8438723108550557,-0.16219841282315803
Baylor Scheierman,58,3.6206896551724137,3.3919666365363175,2.0964795103596696,0.22872301863609626
Brandon Ingram,58,5.551724137931035,6.147110670490664,2.051818574916226,-0.5953865325596299
